Product Name,Normalized Name
Xiaomi Redmi 13 6 GB / 128 GB Midnight Black,xiaomi redmi 13 6 gb / 128 gb midnight black
Xiaomi Redmi 13 8 GB / 256 GB Midnight Black,xiaomi redmi 13 8 gb / 256 gb midnight black
Xiaomi 14 Ultra 16 GB/ 512 GB Black,xiaomi 14 ultra 16 gb/ 512 gb black
Xiaomi 14 12 GB / 512 GB Jade Green,xiaomi 14 12 gb / 512 gb jade green
Xiaomi Redmi A3 4 GB / 128 GB Midnight Black,xiaomi redmi a3 4 gb / 128 gb midnight black
Xiaomi Redmi Note 13 6 GB / 128 GB Midnight Black,xiaomi redmi note 13 6 gb / 128 gb midnight black
Xiaomi Redmi Note 13 Pro+ 12 GB / 512 GB Mystic Silver,xiaomi redmi note 13 pro+ 12 gb / 512 gb mystic silver
Xiaomi Redmi Note 13 Pro+ 8 GB / 256 GB Midnight Black,xiaomi redmi note 13 pro+ 8 gb / 256 gb midnight black
Xiaomi Redmi Note 13 Pro 12 GB / 512 GB Midnight Black,xiaomi redmi note 13 pro 12 gb / 512 gb midnight black
Xiaomi Redmi Note 13 Pro 8 GB / 256 GB Midnight Black,xiaomi redmi note 13 pro 8 gb / 256 gb midnight black
Xiaomi Redmi Note 13 8 GB / 256 GB Midnight Black,xiaomi redmi note 13 8 gb / 256 gb midnight black
Xiaomi Redmi 13C 8 GB / 256 GB Midnight Black,xiaomi redmi 13c 8 gb / 256 gb midnight black
Xiaomi Redmi 13C 4 GB / 128GB Midnight Black,xiaomi redmi 13c 4 gb / 128gb midnight black
Xiaomi 13T Pro 12 GB / 512 GB Alpine Blue,xiaomi 13t pro 12 gb / 512 gb alpine blue
Xiaomi 13T 12 GB / 256 GB Meadow Green,xiaomi 13t 12 gb / 256 gb meadow green
Xiaomi Redmi 12 256 GB Midnight Black,xiaomi redmi 12 256 gb midnight black
Xiaomi Redmi 12 8 GB / 256 GB Polar Silver (Without Charge),xiaomi redmi 12 8 gb / 256 gb polar silver (without charge)
Xiaomi Redmi 13C 8 GB / 256 GB without NFC Navy Blue,xiaomi redmi 13c 8 gb / 256 gb without nfc navy blue
Xiaomi 12T 256 GB Black,xiaomi 12t 256 gb black
Xiaomi Redmi 10A 128 GB Sky Blue,xiaomi redmi 10a 128 gb sky blue
Xiaomi 12 Lite 256 GB Black,xiaomi 12 lite 256 gb black
Xiaomi Redmi 9A 32 GB Gray,xiaomi redmi 9a 32 gb gray
Samsung Galaxy A35 (SM-A356) 8 GB / 256 GB Black,samsung galaxy a35 (sm-a356) 8 gb / 256 gb black
Samsung Galaxy A55 (SM-A556) 8 GB / 256 GB Black,samsung galaxy a55 (sm-a556) 8 gb / 256 gb black
Samsung Galaxy A55 (SM-A556) 8 GB / 128 GB Black,samsung galaxy a55 (sm-a556) 8 gb / 128 gb black
Samsung Galaxy A15 (SM-A155) 4 GB /128 GB Blue/Black,samsung galaxy a15 (sm-a155) 4 gb /128 gb blue/black
Samsung Galaxy S24 Ultra (SM-S928) 12 GB / 256 GB Titanium Black,samsung galaxy s24 ultra (sm-s928) 12 gb / 256 gb titaniumium black
Samsung Galaxy S24 Ultra (SM-S928) 12 GB / 512 GB Titanium Violet,samsung galaxy s24 ultra (sm-s928) 12 gb / 512 gb titaniumium violet
Samsung Galaxy S24 Ultra (SM-S928) 12 GB / 1 TB Titanium Black,samsung galaxy s24 ultra (sm-s928) 12 gb / 1 tb titaniumium black
Samsung Galaxy S24+ (SM-S926) 12 GB / 512 GB Black,samsung galaxy s24+ (sm-s926) 12 gb / 512 gb black
Samsung Galaxy S24+ (SM-S926) 12 GB / 256 GB Black,samsung galaxy s24+ (sm-s926) 12 gb / 256 gb black
Samsung Galaxy S24 (SM-S921) 8 GB / 128 GB Gray,samsung galaxy s24 (sm-s921) 8 gb / 128 gb gray
Samsung Galaxy S24 (SM-S921) 8 GB / 256 GB Violet,samsung galaxy s24 (sm-s921) 8 gb / 256 gb violet
Samsung Galaxy A15 (SM-A155) 8 GB /256 GB Blue/Black,samsung galaxy a15 (sm-a155) 8 gb /256 gb blue/black
Samsung Galaxy A25 ( SM-A256) 8 GB/256 GB Blue/Black,samsung galaxy a25 ( sm-a256) 8 gb/256 gb blue/black
Samsung Galaxy A15 (SM-A155) 6 GB /128 GB Blue/Black,samsung galaxy a15 (sm-a155) 6 gb /128 gb blue/black
Samsung Galaxy A05 (SM-A055) 128 GB Black,samsung galaxy a05 (sm-a055) 128 gb black
Samsung Galaxy A05 (SM-A055) 64 GB Black,samsung galaxy a05 (sm-a055) 64 gb black
